#OTU ID	SRR14065308_pass	SRR14065340_pass	SRR14065341_pass	SRR14065392_pass	SRR14065395_pass	SRR14065400_pass	SRR14065406_pass	SRR14065408_pass	SRR14065413_pass	SRR14065418_pass	SRR14065429_pass	SRR14065444_pass	SRR14065495_pass	SRR14065520_pass	SRR14065527_pass	SRR14065559_pass	SRR14065561_pass	SRR14065565_pass	SRR14065566_pass	SRR14065606_pass	SRR14065629_pass	SRR14065676_pass	SRR14065680_pass	SRR14065689_pass	SRR14065714_pass	SRR14065724_pass	SRR14065760_pass	SRR14065764_pass	SRR14065780_pass	SRR14065800_pass	SRR14065801_pass	SRR14065802_pass	SRR14065805_pass	SRR14065812_pass	SRR14065820_pass	SRR14065848_pass	SRR14065866_pass	SRR14065871_pass	SRR14065884_pass	SRR14065898_pass	SRR14065911_pass	SRR14065914_pass
0071ef14fbfad85046d411896a863c01	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	2	0	0	0	0
03180130325e3a2120a8effe3365c2b1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0491d60f93cf793d9de07ae6ae7764a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0
078f29da0ba066ab75728f10dc1b44ae	254	24	0	0	186	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1347	0	0	9	3	0	69
09e757a82b16f3a776ee7160be2e6f7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0db132019fc2e14c6158ea3dc56ef761	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
0e93d24a367e66b5ae764a069374abbf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0fc0d02136637ce93e4180f112f56955	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	45	0	2
10a2fa2b4a929051283ce9462a81f446	4	4	3	0	0	0	1	0	0	4	5	0	0	0	1	0	0	0	0	0	0	17	5	0	0	2	20	0	0	0	0	0	0	1	0	110	0	2	171	19	4	15
1231f49abb19bbcbbad767795a2709db	3	1	1	1	0	0	0	16	0	0	7	0	3	6	0	1	6	0	1	1	7	0	39	0	0	1	2	10	0	1	5	0	3	5	3	3	8	4	3	0	0	0
