SRR14065611
SRR14065612
SRR14065613
SRR14065614
SRR14065615
SRR14065616
SRR14065617
SRR14065744
SRR14065618
SRR14065619
SRR14065914
SRR14065745
SRR14065812
SRR14065813
SRR14065814
SRR14065815
SRR14065650
SRR14065557
SRR14065558
SRR14065559
SRR14065561
SRR14065562
SRR14065563
SRR14065808
SRR14065564
SRR14065565
SRR14065566
SRR14065567
SRR14065568
SRR14065915
SRR14065916
SRR14065917
SRR14065305
SRR14065746
SRR14065306
SRR14065307
SRR14065308
SRR14065309
SRR14065310
SRR14065747
SRR14065312
SRR14065313
SRR14065314
SRR14065315
SRR14065316
SRR14065525
SRR14065526
SRR14065527
SRR14065528
SRR14065748
SRR14065749
SRR14065529
SRR14065531
SRR14065532
SRR14065533
SRR14065534
SRR14065535
SRR14065536
SRR14065750
SRR14065537
SRR14065538
SRR14065539
SRR14065540
SRR14065560
SRR14065569
SRR14065570
SRR14065572
SRR14065816
SRR14065817
SRR14065818
SRR14065819
SRR14065820
SRR14065821
SRR14065822
SRR14065571
SRR14065823
SRR14065824
SRR14065826
SRR14065827
SRR14065828
SRR14065769
SRR14065770
SRR14065771
SRR14065772
SRR14065751
SRR14065773
SRR14065774
SRR14065775
SRR14065776
SRR14065461
SRR14065777
SRR14065829
SRR14065830
SRR14065825
SRR14065831
SRR14065509
SRR14065510
SRR14065511
SRR14065512
SRR14065514
SRR14065515
SRR14065516
SRR14065513
SRR14065517
SRR14065518
SRR14065519
SRR14065520
SRR14065521
SRR14065522
SRR14065523
SRR14065685
SRR14065686
SRR14065778
SRR14065462
SRR14065780
SRR14065781
SRR14065782
SRR14065783
SRR14065429
SRR14065463
SRR14065430
SRR14065431
SRR14065432
SRR14065433
SRR14065434
SRR14065464
SRR14065436
SRR14065437
SRR14065465
SRR14065438
SRR14065439
SRR14065440
SRR14065360
SRR14065477
SRR14065479
SRR14065480
SRR14065481
SRR14065361
SRR14065482
SRR14065483
SRR14065484
SRR14065362
SRR14065485
SRR14065486
SRR14065487
SRR14065488
SRR14065363
SRR14065490
SRR14065491
SRR14065579
SRR14065580
SRR14065581
SRR14065582
SRR14065755
SRR14065583
SRR14065584
SRR14065585
SRR14065586
SRR14065587
SRR14065588
SRR14065786
SRR14065766
SRR14065787
SRR14065788
SRR14065789
SRR14065790
SRR14065791
SRR14065492
SRR14065882
SRR14065883
SRR14065884
SRR14065885
SRR14065886
SRR14065887
SRR14065888
SRR14065890
SRR14065364
SRR14065891
SRR14065892
SRR14065893
SRR14065894
SRR14065895
SRR14065896
SRR14065736
SRR14065897
SRR14065589
SRR14065590
SRR14065592
SRR14065737
SRR14065738
